timestamp,channelTitle,id,title,viewCount,likeCount,commentCount,duration
2026-03-28 19:46:19,HugoX ChugoX,fneUCtcJUqk,LOS SÍMBOLOS DE LA PATRIA Y SU USO COMERCIAL,32124,2050,260,PT11M4S
2026-03-28 19:46:19,HugoX ChugoX,ERpt-epZCF4,Minería Artesanal y su Problema de Fondo: las CONCESIONES OCIOSAS,68545,3724,434,PT14M6S
2026-03-28 19:46:19,HugoX ChugoX,wVacOt08tFg,LLEGARON LOS TRENES DE PORKY,109159,5013,3155,PT11M52S
2026-03-28 19:46:19,HugoX ChugoX,EUu2DHfKRzw,💥IRÁN vs ISRAEL y EE.UU.💣 Actualización: de una Tercera GUER®️🅰️ Mundial a un Alto al Fuego,64803,3115,209,PT10M35S
2026-03-28 19:46:19,HugoX ChugoX,X_0huTJNt38,PJ suspende a Patricia Benavides | Cronología del Conflicto,11138,829,156,PT11M56S
2026-03-28 19:46:19,HugoX ChugoX,FlxV9g3Bvuc,¿QUÉ EDIFICIOS RESISTEN TERREMOTOS Y CUÁLES NO?,77275,4130,378,PT13M13S
2026-03-28 19:46:19,HugoX ChugoX,8YqCwB-wi4I,¿Por qué ISRAEL e IRÁN se odian? ¿Se viene la 3ra GUER®️🅰️ MUNDIAL?,320852,12375,1348,PT12M16S
2026-03-28 19:46:19,HugoX ChugoX,U23w-mJ5_pk,Telefónica fue regalada en S/3.7 millones con una deuda de S/3000 millones. Breve cronología,62469,2359,691,PT11M56S
2026-03-28 19:46:19,HugoX ChugoX,5SyEztK6Ysw,¡ALARMANTE! Así MUTILARON el ÁREA de RESERVA de las LÍNEAS DE NASCA,41722,2486,422,PT11M27S
2026-03-28 19:46:19,HugoX ChugoX,XejOkiCvtxE,Antiguo Aeropuerto Jorge Chávez cerrará para siempre ¿Por que no usarlo como ampliación?,89739,3164,519,PT11M43S
2026-03-28 19:46:19,HugoX ChugoX,2YOsp4I8zVw,🇵🇪 NO ES FÁCIL SER MOTOCICLISTA EN PERÚ,36701,1963,342,PT13M40S
2026-03-28 19:46:19,HugoX ChugoX,4ewkWXhjzCg,PERÚ comprará 24 AVIONES CAZA (por si acaso),360507,8667,2363,PT16M11S
2026-03-28 19:46:19,HugoX ChugoX,juPR4w-HRhk,El camino de ROBERT PREVOST al sillón papal y cómo desmintieron sus acusaciones de encubrimiento,84685,3632,796,PT12M49S
2026-03-28 19:46:19,HugoX ChugoX,8za5qGXYtGA,🇵🇪 ¿PERÚ CONSUME AGUA CON 💩? TE EXPLICO,66276,3317,535,PT16M6S
2026-03-28 19:46:19,HugoX ChugoX,ucfa5DV4HbU,DUDAS SOBRE EL PROYECTO OLMOS,17193,714,57,PT10M57S
